publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p957810,earthquake,2024-12-20T09:21:24.991Z,2024-12-23T12:46:24.421Z,175.89447021484375,-39.590545654296875,4.133628494350126,32.98231887817383,MLv,,LOCSAT,confirmed,manual,iasp91,38,27,28,0.1174890697002411,35.26984119415283,0.3932174499912748,0.14832299243383623
2024p949173,earthquake,2024-12-17T04:39:35.174Z,2024-12-19T21:34:25.255Z,174.24710083007812,-41.773292541503906,5.120054333578334,11.794282913208008,MLv,,LOCSAT,confirmed,manual,iasp91,46,27,55,0.03476123511791229,143.9213104248047,0.452123258364637,0.16588242562670336
2024p941705,earthquake,2024-12-14T10:20:26.275Z,2024-12-17T21:41:42.657Z,178.88641357421875,-38.73516082763672,5.26016403599319,37.86094284057617,M,,LOCSAT,confirmed,manual,iasp91,47,32,61,0.5845834612846375,249.51220703125,0.8305421492380483,0
2024p844547,earthquake,2024-11-08T11:34:50.505Z,2024-11-14T22:55:53.603Z,178.82632446289062,-41.64018630981445,4.068707315816486,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,49,35,76,2.108551263809204,132.2275848388672,1.1775494084713591,0.17976336385904085
2024p832767,earthquake,2024-11-04T02:58:35.854Z,2024-11-07T22:46:37.251Z,174.20542907714844,-41.26215362548828,4.882023463829681,32.72145080566406,MLv,,LOCSAT,confirmed,manual,iasp91,43,29,120,0.07440309971570969,71.07427978515625,0.6036235766659626,0.19208821514604957
2024p826439,earthquake,2024-11-01T18:46:57.188Z,2024-11-04T22:39:34.577Z,173.14422607421875,-40.0742301940918,4.2027171626337,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,60,34,85,0.6310812830924988,174.9723129272461,0.6086763674555927,0.150990101514693
2024p755216,earthquake,2024-10-06T10:19:13.450Z,2024-10-10T20:43:21.183Z,176.56529235839844,-40.312129974365234,4.784261371316481,16.297975540161133,MLv,,LOCSAT,confirmed,manual,iasp91,32,23,119,0.03688986599445343,130.34384155273438,0.36333889686721016,0.17585408498837607
2024p753169,earthquake,2024-10-05T16:08:55.138Z,2024-10-06T22:40:02.845Z,174.4170379638672,-41.26350784301758,5.703886677411178,29.70797920227051,M,,LOCSAT,confirmed,manual,iasp91,37,27,69,0.11866622418165207,84.32743835449219,0.4941566256947063,0
2024p741084,earthquake,2024-10-01T04:49:40.828Z,2024-10-07T02:25:49.223Z,174.34945678710938,-41.52854919433594,5.020390555624449,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,72,47,57,0.2088056206703186,111.01167297363281,0.5120626437105691,0.18404824813825313
2024p699389,earthquake,2024-09-15T18:34:47.803Z,2024-09-17T02:57:41.366Z,178.48165893554688,-41.85580062866211,5.088202908792773,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,59,42,11,1.9587769508361816,119.90530395507812,1.71624854806748,0.2731528323222638
2024p684268,earthquake,2024-09-10T04:18:00.366Z,2024-09-17T02:26:29.825Z,178.1291961669922,-38.18870162963867,4.693720624694771,10.342132568359375,MLv,,LOCSAT,confirmed,manual,iasp91,29,19,96,0.1178760975599289,102.9138298034668,0.6150405380177678,0.18578674660752495
2024p671044,earthquake,2024-09-05T06:52:17.491Z,2024-09-12T02:54:49.128Z,173.59616088867188,-39.68011474609375,4.151982266879386,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,52,30,102,0.30470985174179077,171.95014190673828,0.4742741931057636,0.20813457760341939
2024p623901,earthquake,2024-08-18T20:15:41.900Z,2024-08-23T00:01:50.972Z,176.28538513183594,-40.38822555541992,4.116923428947235,32.43206787109375,MLv,,LOCSAT,confirmed,manual,iasp91,36,19,24,0.02338428236544132,63.1002197265625,0.5063690231750181,0.16320040044101664
2024p587797,earthquake,2024-08-05T11:38:37.569Z,2024-08-06T00:34:25.360Z,174.6315460205078,-41.38352966308594,4.797623519443271,13.273820877075195,MLv,,LOCSAT,confirmed,manual,iasp91,67,43,40,0.12904322147369385,106.67880249023438,0.4312442040784127,0.09563703197988366
2024p545381,earthquake,2024-07-20T18:59:10.761Z,2024-07-25T01:04:05.146Z,176.59072875976562,-40.261714935302734,4.097038798064522,15.67157745361328,MLv,,LOCSAT,confirmed,manual,iasp91,39,22,98,0.03432890400290489,60.51891326904297,0.5670786288924474,0.18484859756296376
2024p504198,earthquake,2024-07-05T13:17:04.756Z,2024-07-09T00:35:33.669Z,174.5725555419922,-41.7340087890625,4.02713640261082,23.01638984680176,MLv,,LOCSAT,confirmed,manual,iasp91,31,20,29,0.2688850462436676,161.38895416259766,0.3059567079422546,0.22642769043001443
2024p487335,earthquake,2024-06-29T07:32:26.110Z,2024-06-30T23:57:45.891Z,176.9669952,-39.81319809,4.015365124,24.29046249,MLv,,LOCSAT,confirmed,manual,iasp91,50,32,36,0.0721597597,165.4039612,0.3417270586,0.1861504132
2024p486281,earthquake,2024-06-28T22:10:34.633Z,2024-06-30T23:49:45.790Z,176.9501343,-39.73427963,4.026609845,28.02790451,MLv,,LOCSAT,confirmed,manual,iasp91,48,32,27,0.0824232772,140.4910545,0.309082884,0.148940174
